cctvid,소재지_지번주소,위도,경도,관측소_거리,버스정류장_이용객수,지하철역_지표,학교_거리,처리시설_개수,CAI
27732,경기도 의정부시 용현동 391-2,37.73701466,127.0772337,773.4280594104748,1105.0,4734.835481178123,0.0039868060444377,1.0,56.08156468274122
31202,경기도 평택시 가재동 593-10,37.04076341,127.0859255,6228.40812172388,22.0,1499.594812242696,0.00480085424265,2.0,61.86194814372806
1931,경기도 광명시 광명동 158-103번지,37.48078313,126.8544743,984.687533798901,794.4,10823.602868186772,0.0037029188596257,1.0,57.68408742105263
17236,경기도 안산시 상록구 월피동 505-6,37.33448197,126.8413018,5938.68067991938,701.0,6114.943147121169,0.0036082451524417,1.0,56.613909368421055
14574,경기도 수원시 팔달구 화서동 679-8,37.2864871,126.9899114,6702.41916558745,1274.2,8281.573817460074,0.0024701629287641,1.0,57.97714126973684
4149,경기도 군포시 대야미동 79,37.33386458,126.9159683,3511.68639330318,968.0,4952.866390394994,0.0019363905664163,2.0,59.208429495614034
2112,경기도 광명시 광명동 96-11번지 대우아트빌라,37.4834796,126.8547339,1074.21934256191,1552.0,10256.479261606692,0.002893907141647,1.0,58.78447773464913
4094,경기도 군포시 당정동 976-1,37.34908635,126.9570726,1156.65824060016,702.0,5065.988656172405,0.0058086443784878,0.8,56.76929685745615
32784,경기도 평택시 장당동 474-4,37.0508188,127.0551227,8475.20031488998,860.0,7699.863281465603,0.0023721343925916,1.0,60.89394933333334
14019,경기도 수원시 팔달구 매산로3가 105-1,37.266381,127.007878,9332.97081744877,1273.4,3243.154338838025,0.0043563365191903,1.0,60.91081543421053
27975,경기도 의정부시 의정부동 594-2,37.73139009,127.0433223,2685.92308018155,4.0,10780.432820184376,0.0057237516042208,0.8,58.158656934210526
26837,경기도 의왕시 이동 209-20,37.32880513,126.9501556,2399.93774087679,597.0,6252.75241954227,0.0009745676281235,1.0,58.61617283552632
9371,경기도 성남시 도촌동 567 (세일프라자 맞은편),37.414528,127.1511307,9835.67126626956,552.0,8571.673796205707,0.0026240449380077,0.4,58.10004713157895
1764,경기도 과천시 별양동 85-2(굴다리시장),37.42760611,126.995527,1537.5012196407,155.0,12734.835425577863,0.0025361895750004,0.4,57.60251864692982
24604,경기도 오산시 원동 903,37.1339152,127.0732373,1104.1997226291,107.0,4984.285849386155,0.0027031217587083,1.0,59.50583456578947
19265,경기도 안양시 동안구 관양2동 1493-33,37.40003362,126.973359,1585.25672880644,1515.0,9965.59975367198,0.003229840051038,0.6,58.2842403881579
27162,경기도 의정부시 가능동 724-3,37.74568771,127.0347782,3619.23557693462,466.0,4908.9646501883,0.0072345006964713,1.0,59.52739144956139
7702,경기도 부천시 내동 295,37.52217278,126.785293,3066.68211126914,534.0,3006.5350704588564,0.0019879016045384,1.0,59.22647621710527
8022,경기도 부천시 상동 614-6,37.48985364,126.742625,2204.45393179364,332.0,6856.445923759349,0.0041293497941919,1.0,61.86194814372806
19167,경기도 안양시 동안구 관양1동 1399-8,37.40448093,126.9562212,1120.03043024841,455.6,8223.997706769173,0.0024064530234046,2.0,58.54771156140351
16469,경기도 안산시 상록구 건건동 683-2,37.30545308,126.9069602,6646.90953017427,30.0,3598.300115549788,0.0046329261244763,1.0,57.14664510526316
1034,경기도 고양시 일산동구 마두동 806,37.64960667,126.7802078,4598.08114231461,348.0,13665.499227572684,0.0029904478577275,1.0,57.91996923026316
16712,경기도 안산시 상록구 본오동 911-5,37.2911595,126.8656538,2657.87999126739,98.0,8181.079551655488,0.0037734586040028,1.0,58.08721611622807
34982,경기도 화성시 마도면 석교리 212-8,37.20463704,126.7734205,4339.11280129177,788.0,250.52818345446124,0.0056472899608486,1.0,61.666999660087725
20204,경기도 안양시 만안구 안양3동 873-93,37.40093866,126.9147138,2117.31171023021,944.2,10385.892561189983,0.0060140865950147,1.2,60.07059384429824
8708,경기도 부천시 역곡동 48,37.48403522,126.806443,4209.81531125083,1230.0,2380.008684784264,0.002013717561565,1.0,59.74586267763159
27903,경기도 의정부시 의정부동 429-31,37.73983088,127.0421354,2819.37825406369,734.0,11848.152034295825,0.0029089671182514,0.8,58.16328012719298
27980,경기도 의정부시 의정부동 6-38,37.74698267,127.0502754,2452.368832692,52.0,7818.919575829433,0.0027637512154842,2.0,58.55098349342106
27922,경기도 의정부시 의정부동 493-5,37.73778713,127.0427155,2732.66907660131,301.0,10975.234185435287,0.0019005408638414,0.8,57.40190834868421
31778,경기도 평택시 비전동 1028-1,37.00218708,127.1000055,1787.52548648637,139.0,5031.298647018743,0.0068137157351822,2.0,59.11116309868421
16419,경기도 안산시 단원구 초지동 742-10번지,37.30178199,126.8131188,3221.39650303349,719.0,3077.985270700044,0.0031698994086156,0.6,57.61013094736842
8226,경기도 부천시 송내동 371-1,37.48580808,126.7657066,1651.67066698353,1319.0,9423.757796526488,0.0046633380507891,1.2,57.21633503289473
1617,경기도 과천시 과천동 461-10(열리는어린이집),37.45063575,126.9957508,1292.79737976818,1975.0,8392.928596217664,0.0006467079948489,1.0,56.95306695175439
17051,경기도 안산시 상록구 사동 1577-6,37.30326524,126.8409423,2479.64957122267,93.0,4737.082754606919,0.0060972514933835,1.0,56.751420453947375
19385,경기도 안양시 동안구 달안동 1116,37.39836362,126.945206,1124.62557553367,437.0,11305.20285238138,0.0046200557196059,1.0,58.77098006140351
12575,경기도 수원시 영통구 원천동 253-24,37.26694827,127.0628454,10870.3770968176,733.0,1668.0485075561005,0.0038748799707704,2.0,58.92870579605264
