cctvid,관측소_거리,버스정류장_이용객수,지하철역_지표,학교_거리,처리시설_개수,CAI
27732.0,773.4280594104748,1105.0,4734.835481178123,0.0039868060444377,1.0,56.081564682741224
23150.0,2478.27209890322,10.0,1223.498595311976,0.0044077835470062,0.0,61.86194814372806
23218.0,773.4280594104748,555.0,1519.7607479661942,0.0017078738286833,2.0,61.86194814372806
13029.0,5440.83442589108,1078.0,2137.518540679567,0.0022639279018902,0.0,56.081564682741224
28171.0,2944.5289166824,648.0,11564.442908752872,0.0027742709783206,0.0,56.081564682741224
31202.0,6228.40812172388,22.0,1499.594812242696,0.00480085424265,2.0,61.86194814372806
6419.0,5353.46178456111,1476.0,490.4741336229218,0.0046041899864425,0.0,56.081564682741224
30319.0,4519.63907611603,0.0,722.7483714225276,0.003953840869978,0.0,57.08576905263158
37100.0,9423.88534446679,0.0,539.4606407155537,0.0005370413709078,0.0,61.86194814372806
1931.0,984.687533798901,794.4,10823.602868186772,0.0037029188596257,1.0,57.68408742105263
17236.0,5938.68067991938,701.0,6114.943147121169,0.0036082451524417,1.0,56.613909368421055
14574.0,6702.41916558745,1274.2,8281.573817460074,0.0024701629287641,1.0,57.97714126973684
18456.0,9881.36721049255,3.0,520.0187218169715,0.0018087850841734,0.0,58.017285916666665
11478.0,8842.15531188958,1217.0,5298.773990376175,0.0043600216397521,0.0,57.23818881798246
21857.0,1084.31949819294,0.0,77.052524262322,0.0005752195619079,0.0,57.548868912280696
20633.0,6513.1856154491,95.0,577.4073558983591,0.0043752353143887,0.0,58.54443780263158
14529.0,7577.47238833203,7.0,8173.967165823394,0.0025232932554147,0.0,57.35608797587719
30243.0,5988.39233415801,121.0,1316.995517824214,0.0030810788807398,0.0,57.95813442763158
14422.0,8670.86746630817,96.0,1476.275947459717,0.0030654676423767,0.0,57.33938144736843
25253.0,5800.8596827639,21.0,613.2655987206924,0.0034954410712636,0.0,57.39076332017543
31575.0,2804.71379534311,36.0,3180.6741306878152,0.0016769299738781,0.0,58.90166983114035
38729.0,12360.4034584561,0.0,241.28068338186304,0.0048573332343521,0.0,60.03557066447368
26321.0,9067.47419551869,91.0,188.6126425547875,0.0031054778388645,1.0,61.03870640131579
11488.0,7757.44408663761,1099.2,4036.113192431153,0.003306296513144,0.0,60.59037273464912
25661.0,11663.9085475704,494.4,1224.311878304661,0.0022997050163564,0.0,59.26577926754386
27072.0,3205.09925861455,1079.0,10357.511350574063,0.0053364992064892,0.0,58.42339383333334
37422.0,4029.53853526027,1.0,151.60046410243604,0.0026793707107111,0.0,59.64550756140352
37644.0,3752.20448573521,31.0,225.7821550683571,0.0026178603936392,0.0,61.15751184429825
37148.0,5643.7274023543,69.0,221.8750354784395,0.0036655483493677,2.0,61.65838404166667
17976.0,1756.43249593233,35.0,582.7682516065089,0.0041909768544931,0.0,61.73366845833333
29935.0,10220.6065258366,89.0,726.0951158347926,0.0032153529222785,0.0,59.13758967982457
6900.0,8175.50505465256,0.0,1244.7075121872872,0.0006943426300069,0.0,58.26031570833333
33279.0,12530.164851370677,254.0,371.3308914942853,0.0033448407175511,1.0,60.08777027850878
4149.0,3511.68639330318,968.0,4952.866390394994,0.0019363905664163,2.0,59.208429495614034
26512.0,2418.79752182473,1396.0,12602.461248440386,0.0028594467105737,0.0,60.11265765789473
14882.0,3753.96700964534,209.0,313.50836280948465,0.000829756910489,0.0,60.88244432675438
10241.0,11155.0129217084,1053.8,5604.620431389538,0.0030883092198695,0.0,58.53994420175439
28200.0,3799.58793041261,0.0,5099.041114186053,0.0017081194759047,0.0,58.169897168859656
14683.0,5578.42289012263,1521.0,4737.896619095038,0.0041289904812405,0.0,59.58608023245615
2112.0,1074.21934256191,1552.0,10256.479261606693,0.002893907141647,1.0,58.78447773464913
37229.0,7490.06456109124,7.0,134.50114792018095,0.0012294553745839,0.0,59.69913634210526
5526.0,3772.95274859166,5.0,2434.343306512214,0.0016501460001388,1.0,60.549479548245614
7303.0,8959.3046762783,23.0,5355.656188527459,0.0083469086708516,0.0,58.74542742105263
14172.0,9667.79495284938,538.4,890.5812707268825,0.0025799456691759,0.0,58.32835113377193
4094.0,1156.65824060016,702.0,5065.988656172405,0.0058086443784878,0.8,56.76929685745615
6120.0,8592.61570806361,0.0,794.347026505799,0.0012596073702507,0.0,56.081564682741224
25055.0,7821.88507589058,1.0,7513.65537467246,0.0026617631353255,0.0,56.533236778508765
32238.0,2660.28451851692,6.0,529.6661622749326,0.0005620770857709,1.0,57.50259238815791
6443.0,6371.57796507946,24.0,558.0516845789865,0.0010179261758527,1.0,57.27504143859649
16069.0,6084.03315440845,921.0,2654.2689381115542,0.0061863317445693,0.0,57.72275884429825
22328.0,12092.4188687541,494.0,9778.80367672881,0.0025663143302288,0.0,57.68049441008772
36342.0,5367.5621347229,0.0,350.2815234628138,0.0005372901506902,0.0,57.72823932236842
29865.0,11627.1420893731,114.0,406.33181159714775,0.007964064957886,0.0,59.3041359517544
31037.0,5449.37743917059,90.0,1229.8227441514716,0.0010050554900055,1.0,59.40079382456142
18842.0,6916.82739554618,0.0,992.675622266204,0.0003692745493765669,0.0,60.26663371052632
32784.0,8475.20031488998,860.0,7699.863281465603,0.00237213439259164,1.0,60.89394933333334
6840.0,6616.67389950414,511.0,6711.3741128571855,0.0011339508071829,0.0,60.403767625
21831.0,5118.92800508041,0.0,109.16818605853594,0.0003692745493765669,0.0,60.97192574122808
30326.0,1102.43428015243,1491.0,136.26247460372142,0.0034199553876578,0.0,59.9972908114035
