cctvid,관측소_거리,버스정류장_이용객수,지하철역_지표,학교_거리,처리시설_개수,CAI
27732,410.618718719665,1105,4734.835481178123,0.0039868060444377,1,55.7351562631579
23150,2478.27209890322,10,1223.498595311976,0.0044077835470062,0,64.49086052631579
23218,754.534389855988,555,1519.7607479661942,0.0017078738286833,2,63.90234731578947
13029,5440.83442589108,8349,2137.518540679567,0.0022639279018902,0,53.861586
28171,2944.5289166824,648,11564.442908752872,0.0027742709783206,0,54.76321805263158
31202,6228.40812172388,22,1499.594812242696,0.00480085424265,2,65.04433357894736
6419,5353.46178456111,1476,490.4741336229218,0.0046041899864425,0,52.622848
30319,4519.63907611603,0,722.7483714225276,0.003953840869978,0,57.08576905263158
37100,9423.88534446679,0,539.4606407155537,0.0005370413709078,0,64.32280084210527
1931,984.687533798901,5311,78455.64739487182,0.0037029188596257,1,57.68408742105263
17236,5938.68067991938,701,6114.943147121169,0.0036082451524417,1,56.613909368421055
14574,6702.41916558745,3258,18300.288600775923,0.0024701629287641,1,57.97714126973684
18456,9881.36721049255,3,520.0187218169715,0.0018087850841734,0,58.017285916666665
11478,8842.15531188958,1217,48503.21395634023,0.0043600216397521,0,57.23818881798246
21857,1084.31949819294,0,3.614617650268466,0.0005752195619079,0,57.548868912280696
20633,6513.1856154491,95,577.4073558983591,0.0043752353143887,0,58.54443780263158
14529,7577.47238833203,7,8173.967165823394,0.0025232932554147,0,57.35608797587719
30243,5988.39233415801,121,1316.995517824214,0.0030810788807398,0,57.95813442763158
14422,8670.86746630817,96,1476.275947459717,0.0030654676423767,0,57.33938144736843
25253,5800.8596827639,21,613.2655987206924,0.0034954410712636,0,57.39076332017543
31575,2804.71379534311,36,3180.6741306878152,0.0016769299738781,0,58.90166983114035
38729,12360.4034584561,0,241.28068338186304,0.0048573332343521,0,60.03557066447368
26321,9067.47419551869,91,188.6126425547875,0.0031054778388645,1,61.03870640131579
11488,7757.44408663761,2824,4036.113192431153,0.003306296513144,0,60.59037273464912
25661,11663.9085475704,17549,1224.311878304661,0.0022997050163564,0,59.26577926754386
27072,3205.09925861455,1079,15734.198775615956,0.0053364992064892,0,58.42339383333334
37422,4029.53853526027,1,151.60046410243604,0.0026793707107111,0,59.64550756140352
37644,3752.20448573521,31,225.7821550683571,0.0026178603936392,0,61.15751184429825
37148,5643.7274023543,69,221.8750354784395,0.0036655483493677,2,61.65838404166667
17976,1756.43249593233,35,582.7682516065089,0.0041909768544931,0,61.733668458333334
29935,10220.6065258366,89,726.0951158347926,0.0032153529222785,0,59.13758967982457
6900,8175.50505465256,0,1244.7075121872872,0.0006943426300069,0,58.26031570833333
33279,16135.4570982741,254,371.3308914942853,0.0033448407175511,1,60.08777027850878
4149,3511.68639330318,968,4952.866390394994,0.0019363905664163,2,59.208429495614034
26512,2418.79752182473,1396,12602.461248440386,0.0028594467105737,0,60.11265765789473
14882,3753.96700964534,209,313.50836280948465,0.000829756910489,0,60.88244432675438
10241,11155.0129217084,7667,17679.449093416668,0.0030883092198695,0,58.53994420175439
28200,3799.58793041261,0,5099.041114186053,0.0017081194759047,0,58.169897168859656
14683,5578.42289012263,1521,4737.896619095038,0.0041289904812405,0,59.58608023245615
2112,1074.21934256191,1552,29793.27814450281,0.002893907141647,1,58.78447773464913
37229,7490.06456109124,7,134.50114792018095,0.0012294553745839,0,59.69913634210526
5526,3772.95274859166,5,2434.343306512214,0.0016501460001388,1,60.549479548245614
7303,8959.3046762783,23,5355.656188527459,0.0083469086708516,0,58.745427421052625
14172,9667.79495284938,2756,890.5812707268825,0.0025799456691759,0,58.32835113377193
4094,1156.65824060016,702,5065.988656172405,0.0058086443784878,3,56.76929685745615
6120,8592.61570806361,0,794.347026505799,0.0012596073702507,0,55.74856055701754
25055,7821.88507589058,1,7513.65537467246,0.0026617631353255,0,56.533236778508765
32238,2660.28451851692,6,529.6661622749326,0.0005620770857709,1,57.50259238815791
6443,6371.57796507946,24,558.0516845789865,0.0010179261758527,1,57.27504143859649
16069,6084.03315440845,921,2654.2689381115542,0.0061863317445693,0,57.72275884429825
22328,12092.4188687541,494,31236.68882151863,0.0025663143302288,0,57.68049441008772
36342,5367.5621347229,0,350.2815234628138,0.0005372901506902,0,57.728239322368424
29865,11627.1420893731,114,406.33181159714775,0.007964064957886,0,59.3041359517544
31037,5449.37743917059,90,1229.8227441514716,0.0010050554900055,1,59.40079382456142
18842,6916.82739554618,0,992.675622266204,0.0003130350919546,0,60.26663371052632
32784,8475.20031488998,860,7699.863281465603,0.0116995059052261,1,60.89394933333334
6840,6616.67389950414,511,6711.3741128571855,0.0011339508071829,0,60.403767625
21831,5118.92800508041,0,109.16818605853594,0.0002334174793699,0,60.97192574122808
30326,1102.43428015243,1491,136.26247460372142,0.0034199553876578,0,59.9972908114035
37545,2932.62726071155,11,221.22370150618028,0.0020320041183863,0,60.1898285745614
19033,7072.27903541885,38,105.69511686998528,0.0005188450229282,0,62.063320256578955
8688,3941.94653770179,966,24905.00289250511,0.0027910996003674,0,61.52410856798245
14019,9332.97081744877,11040,3243.154338838025,0.0043563365191903,1,60.91081543421053
24250,1033.62428533392,54,1562.5882207405243,0.0095679936106638,0,60.05321109429824
23879,6374.00068892267,6,139.89005168089344,0.0003939257786216,0,58.34826436842105
35389,3896.71122595749,481,723.6224153338153,0.0102977422377389,0,58.4792319122807
24101,797.908847764357,3,378.4116133824564,0.0052520716540357,0,59.37577610087719
27975,2685.92308018155,4,10780.432820184376,0.0057237516042208,10,58.158656934210526
