소재지지번주소,위도,경도,cctvid
경기도 안양시 동안구 관양2동 1493-33,37.40003362,126.973359,19265
경기도 파주시 법흥리 1566,37.77016731,126.701829,30535
경기도 수원시 영통구 영통동 971-2,37.24637854,127.062527,12523
경기도 수원시 영통구 망포동 41-1,37.24515865,127.052429,12052
경기도 양평군 양평읍 백안리 494-1 답,37.49017676,127.5090662,22247
경기도 화성시 동탄6동 금곡리 587-1,37.16627613,127.0785304,34922
경기도 포천시 관인면 사정리 172-5,38.1241944,127.2590359,33350
경기도 시흥시 정왕2동 1872-7,37.3553096,126.733811,15131
경기도 김포시 장기동 1864,37.645182,126.668483,5344
경기도 평택시 동삭동 산 18-5,37.01815442,127.0994977,31603
경기도 김포시 운양동 1325-5 (운양고 앞 삼거리),37.644477,126.690639,5184
경기도 성남시 수정구 신흥2동 37번지 정다움어린이놀이터 부근,37.4496504,127.145468,10354
경기도 김포시 북변동 429 (김포초교병설유치원),37.624357,126.7094973,4851
경기도 의정부시 가능동 36-1,37.75097659,127.0435198,27062
경기도 양평군 양동면 삼산리 산185도,37.37032623,127.7735527,21830
경기도 의정부시 가능동 724-3,37.74568771,127.0347782,27162
경기도 오산시 외삼미동 산 27-1,37.190058,127.064769,24546
경기도 부천시 내동 295,37.52217278,126.785293,7702
경기도 성남시 분당구 구미1동 87번지 샘터어린이공원,37.3488017,127.118613,9399
경기도 화성시 향남읍 하길리 1129-3,37.09240763,126.9197395,38682
경기도 평택시 신장동 267-372,37.07323808,127.049144,32337
경기도 이천시 설성면 장능리 147-4,37.1309061,127.526766,29074
경기도 이천시 장호원읍 송산리 339-1,37.1273367,127.5889425,29445
경기도 부천시 상동 614-6,37.48985364,126.742625,8022
경기도 안양시 만안구 석수1동 820,37.41895154,126.9209248,19928
경기도 수원시 권선구 서둔동 30-10,37.26384951,126.991158,11508
경기도 안산시 단원구 와동 700-3,37.33438925,126.8296078,16063
경기도 안양시 동안구 관양1동 1399-8,37.40448093,126.9562212,19167
경기도 화성시 봉담읍 수기리 59-12,37.19956866,126.976186,35863
경기도 고양시 일산서구 대화동 2008,37.68421377,126.7579866,1324
경기도 양평군 양평읍 양근리 160-11번지,37.48943169,127.4928694,22350
경기도 이천시 증일동 산 4-2,37.2582353,127.4332596,29633
경기도 수원시 장안구 영화동 37-12,37.2911555,127.01989,13180
경기도 남양주시 화도읍 묵현리 302-3,37.65947112,127.2888005,6913
경기도 수원시 권선구 권선동 1020,37.25983162,127.0264832,11178
경기도 수원시 권선구 당수동 244-3,37.2896034,126.9414351,11437
경기도 남양주시 화도읍 답내리 533-1번지,37.65914258,127.3382898,6836
경기도 안산시 상록구 건건동 683-2,37.30545308,126.9069602,16469
경기도 화성시 마도면 송정리 598-1,37.21332211,126.7892248,35004
경기도 고양시 일산동구 마두동 806,37.64960667,126.7802078,1034
경기도 고양시 덕양구 내유동 422-7,37.71784813,126.8495858,551
경기도 시흥시 광석동 89-2번지,37.3875571,126.8185983,14713
경기도 고양시 덕양구 원당동 170-2,37.6770201,126.8595885,725
경기도 화성시 봉담읍 유리 296,37.17394702,126.9285674,35979
경기도 안산시 상록구 본오동 911-5,37.2911595,126.8656538,16712
경기도 성남시 수정구 신흥2동 76-1번지 성남신흥초등학교 후문,37.4493232,127.1434394,10357
경기도 부천시 고강동 345-6,37.52481627,126.8164094,7529
경기도 남양주시 화도읍 마석우리338-1,37.65314135,127.3017173,6891
경기도 파주시  금촌동 962-9,37.75914437,126.7703475,29890
경기도 시흥시 정왕1동 1609-10,37.345921,126.7418563,15103
경기도 시흥시 월곶동 1013-17,37.3879949,126.7363017,15001
경기도 화성시 마도면 석교리 212-8,37.20463704,126.7734205,34982
경기도 파주시 아동동 294-1,37.76975971,126.7760686,30711
경기도 화성시 남양읍 남양리 2192-1,37.21246455,126.8327467,34563
경기도 안성시 일죽면 주천리 464-10,37.09427655,127.4816578,18971
경기도 부천시 상동 232-24,37.49217189,126.7614136,7865
경기도 화성시 마도면 석교리 702-2,37.19807809,126.7663126,34995
경기도 여주시 점동면 장안리 106,37.21400771,127.7235501,23439
경기도 화성시 비봉면 삼화리 689-4,37.24376732,126.8534139,36029
경기도 용인시 수지구 풍덕천동 1120-1 편의점사랑 앞 1119,37.316967,127.087569,25729
경기도 화성시 영천동 667-8,37.20830617,127.106938,37182
경기도 광주시 곤지암읍 열미리 570-2도,37.36025633,127.3543609,2625
"경기도 용인시 기흥구 고매동 64-1 문화건설, 고매동-지곡동 연결도로",37.2238207,127.1337588,24656
경기도 안양시 만안구 안양3동 873-93,37.40093866,126.9147138,20204
경기도 안양시 만안구 안양5동 378-1,37.39534345,126.9280771,20249
경기도 포천시 신읍동 277(마을회관앞),37.8969545,127.1826752,33645
경기도 파주시 금릉동 441-1,37.75288216,126.7805112,30002
경기도 부천시 역곡동 48,37.48403522,126.806443,8708
경기도 화성시 봉담읍 동화리 571,37.21716328,126.9548757,35707
경기도 평택시 동삭동 산 62-2,37.02057854,127.0873644,31610
경기도 수원시 장안구 송죽동 385-1,37.29800979,127.0054719,12995
경기도 고양시 덕양구 원흥동 689-11,37.64833164,126.8737623,735
경기도 남양주시 진접읍 장현리 360,37.72010254,127.1863302,6516
경기도 안성시 금산동 38-9(안성중고정문 인근),37.012477,127.2709012,17932
경기도 과천시 문원동 115-113,37.4241796,127.0085424,1671
경기도 평택시 만호리 378-3,36.9546217,126.8595489,31696
경기도 광주시 궁평리 466-2,37.34109829,127.3201912,2636
경기도 파주시 능산리 600,37.82555838,126.7824516,30139
경기도 의왕시 고천동 103-4,37.34361904,126.9726306,26444
경기도 수원시 권선구 권선동 1254-3,37.25302642,127.0288262,11238
경기도 연천군 전곡읍 전곡리 302-32,38.02379545,127.0685273,23976
경기도 수원시 장안구 천천동 453-1,37.28731508,126.9752874,13597
경기도 고양시 덕양구 삼송동 128-194,37.65041189,126.8903935,609
경기도 의정부시 의정부동 429-31,37.73983088,127.0421354,27903
경기도 용인시 처인구 마평동 675-12 용마초등학교,37.2364762,127.2154679,25982
경기도 수원시 권선구 세류동 1148-26,37.24823215,127.0157086,11592
경기도 의정부시 의정부동 6-38,37.74698267,127.0502754,27980
경기도 파주시 금촌동 978-24,37.75161883,126.7736276,30098
경기도 부천시 작동 164-1,37.51151133,126.8152063,9060
경기도 용인시 기흥구 중동 1044,37.2610237,127.1601608,25247
경기도 성남시 금광1동 1645,37.4435992,127.1660702,9364
경기도 의정부시 의정부동 493-5,37.73778713,127.0427155,27922
경기도 김포시 양촌읍 양곡리 1268,37.646037,126.635628,5021
경기도 평택시 비전동 1028-1,37.00218708,127.1000055,31778
경기도 안성시 아양동 385(아양주공 정문),37.00794357,127.2621475,18619
경기도 평택시 소사동 산 6,36.99019078,127.1316445,32199
경기도 가평군 설악면 회곡리 305-3,37.70085672,127.4545,324
경기도 김포시 운양동 1065,37.607083,126.729175,5116
경기도 양주시 광적면 석우리 407,37.826836,126.979001,20719
경기도 화성시 향남읍 백토리 19,37.12321826,126.9559208,38441
경기도 수원시 권선구 입북동 816,37.27209414,126.9436451,11847
경기도 양주시 산북동 304-10,37.79023611,127.0180833,21070
경기도 안양시 동안구 평촌동 98-2,37.39249139,126.9758971,19646
경기도 고양시 덕양구 화정동 1128,37.6289928,126.8348151,954
경기도 남양주시 진접읍 내곡리 산87-4,37.67788317,127.1548715,6481
경기도 안산시 단원구 초지동 742-10번지,37.30178199,126.8131188,16419
경기도 여주시 홍문동 381,37.28372182,127.6381096,23592
경기도 수원시 장안구 조원동  912-2,37.30761808,127.0112517,13487
경기도 여주시 북내면 신남리 119-4,37.32368769,127.6729353,23307
경기도 파주시 분수리 226-4,37.76020711,126.8663923,30607
경기도 부천시 중동 1176,37.49794858,126.764151,9221
경기도 수원시 팔달구 인계동 268-4,37.27190072,127.0263399,14284
경기도 남양주시 수동면 입석리 471-12,37.71088645,127.3214324,6040
경기도 화성시 남양읍 남양리 2171-1,37.19632609,126.8259912,34559
경기도 부천시 송내동 371-1,37.48580808,126.7657066,8226
경기도 과천시 과천동 461-10(열리는어린이집),37.45063575,126.9957508,1617
경기도 하남시 창우동 72-1,37.54443201,127.2322019,34274
경기도 평택시 백봉리 489-2,37.03221372,126.990845,31744
경기도 가평군 가평읍 마장리 358-5,37.85958911,127.515102,71
경기도 성남시 분당구 구미동 215번지 구미초등학교 주변,37.337504,127.1183617,9419
경기도 안산시 상록구 사동 1577-6,37.30326524,126.8409423,17051
경기도 군포시 속달동 산 1-1,37.34132742,126.9014261,4456
경기도 평택시 세교동 33-11,37.00526846,127.0886732,32147
경기도 김포시 걸포동 1215-12,37.621108,126.712341,4501
경기도 평택시 서정동 821-3,37.0673304,127.0602591,32043
경기도 이천시 율면 북두리 288번지,37.0713052,127.5294648,29309
경기도 용인시 기흥구 지곡동 637-1 황금오리 앞,37.234627,127.138964,25305
경기도 성남시 삼평동 670번지 판교테크노중앙사거리->판교테크노2사거리,37.4062829,127.1164218,10099
경기도 안산시 단원구 성곡동 796,37.29723776,126.7576712,15932
경기도 광주시 오포읍 신현동 1244,37.35683755,127.1473977,2886
경기도 안양시 동안구 달안동 1116,37.39836362,126.945206,19385
경기도 화성시 우정읍 조암리 517,37.08001207,126.805483,37458
경기도 부천시 심곡본동 567-3,37.47406905,126.7805714,8481
"경기도 용인시 수지구 풍덕천동 1102도, 1045도, 신월초교 앞",37.321077,127.092293,25726
경기도 오산시 궐동 681-1번지 센트하임,37.1598596,127.0534804,24220
경기도 수원시 영통구 원천동 253-24,37.26694827,127.0628454,12575
경기도 화성시 장안면 노진리 954,37.05029067,126.8128631,37588
경기도 평택시 수월암리 1120-1,37.12003064,127.0168458,32235
경기도 김포시 대곶면 송마리 1169 (덕포나루입구삼거리),37.659769,126.544887,4742
경기도 용인시 처인구 김량장동 133-28 중앙시장 내 청안쇼핑센터 앞,37.236064,127.206407,25867
경기도 안양시 동안구 갈산동 1093,37.37741904,126.9615445,19133
경기도 화성시 기산동 214-6,37.22391254,127.0496644,34461
경기도 김포시 양촌읍 양곡리 1493,37.662679,126.632991,5035
경기도 성남시 분당구 구미동 108번지 하얀어린이공원 내부,37.345011,127.117941,9404
경기도 평택시 고현리 42-1,37.13462047,127.0940297,31263
경기도 화성시 마도면 청원리 1316,37.17308109,126.7652308,35052
경기도 수원시 팔달구 화서동 219-20,37.28064194,126.9952526,14527
경기도 안성시 당왕동 539-13(쌍용아파트 옆),37.01562179,127.2656533,17966
경기도 평택시 안정리 100-80,36.96174458,127.0407901,32413
경기도 용인시 수지구 동천동 965  수지고 옆 동천터널 가기전,37.331271,127.089564,25430
경기도 광주시 태전동 636-19천,37.3928646,127.223699,3075
경기도 포천시 소흘읍 이동교리 산117-16,37.8202614,127.1317438,33575
경기도 남양주시 와부읍 덕소리 579,37.58628624,127.2055881,6182
경기도 고양시 일산동구 장항동 535-12,37.64213305,126.7596317,1158
경기도 수원시 영통구 매탄동 1181-7,37.25523783,127.0364354,12173
경기도 군포시 당정동 1003-3,37.34446012,126.9507497,4033
경기도 화성시 반송동 232,37.20796387,127.069222,35322
경기도 수원시 영통구 망포동 223-1,37.23929424,127.048653,12030
경기도 이천시 마장면 오천리 284,37.2528083,127.3540528,28495
경기도 양평군 양동면 쌍학리 882-8,37.4053593,127.7487892,21863
경기도 수원시 권선구 세류동 212-1,37.25868287,127.0056614,11626
경기도 광명시 일직동 293(새빛공원 7),37.41572066,126.8883506,2280
경기도 광주시 송정동 528-25대,37.42783779,127.2570062,2815
경기도 이천시 장호원읍 장호원리 145-23,37.1191575,127.6309144,29502
경기도 파주시 뇌조리 353-1,37.76439412,126.8198691,30129
경기도 구리시 수택동 521-25,37.60019766,127.1445418,3511
경기도 양평군 양서면 양수리 551-22번지 성은아파트,37.54531242,127.3205557,21986
경기도 성남시 수정구 신흥3동 3435,37.4443074,127.1441357,10370
경기도 용인시 기흥구 보정동 1144-1 수지 주니어 스포츠클럽 삼거리,37.310678,127.095118,24916
경기도 과천시 원문동 1(원문동1 소공원 지하철역 5번 출구),37.42480349,126.9897543,1792
경기도 수원시 영통구 이의동 1336-1,37.28703928,127.057709,12777
경기도 용인시 처인구 김량장동 346 (문예회관 부지 내),37.2317133,127.1988539,25899
경기도 남양주시 와부읍 도곡리1035-1,37.57981233,127.2233895,6226
경기도 군포시 당동 778-13,37.35203539,126.9476685,3932
경기도 포천시 소흘읍 송우초교 사거리,37.7969509,127.149756,33544
경기도 안성시 서운면 현매리 517-9,36.93769401,127.2187195,18526
경기도 고양시 일산동구 마두동 874,37.6615779,126.7885134,1044
경기도 시흥시 거모동 1759-5,37.3442003,126.7866087,14681
경기도 안산시 단원구 고잔동 532,37.31992472,126.8352463,15422
경기도 수원시 권선구 고색동 888-92,37.25359396,126.9813038,10991
경기도 화성시 향남읍 행정리 576,37.13233341,126.9267947,38827
경기도 김포시 통진읍 마송리 597 (마송근린공원앞),37.686453,126.598049,5479
경기도 화성시 남양읍 남양리 1865-28,37.20460303,126.8065517,34538
"경기도 용인시 기흥구 서천동 388-4 영통영락교회 뒤편, 455",37.242666,127.068185,25050
경기도 가평군 상면 봉수리 175-2,37.86069494,127.2902124,218
경기도 화성시 우정읍 석천리 909,37.04141242,126.772224,37357
경기도 안양시 만안구 석수2동 310-19,37.41060807,126.9106271,19977
경기도 양주시 덕계동 643-6,37.821342,127.042093,20868
경기도 수원시 권선구 오목천동 165-13,37.25315465,126.9662824,11750
경기도 의정부시 민락동 792-3,37.744518,127.0938193,27467
