위도_mclp,경도_mclp,가까운_cctvid,거리,소재지지번주소,위도_cctv,경도_cctv
37.41533865834483,127.42724610766275,23331,2138.97764959879,경기도 여주시 산북면 상품리 145-4,37.40344807,127.4462601
37.3963531352433,127.32736861563812,3155,1241.0283871841345,경기도 광주시 학동리 14-37,37.39317361,127.3408052
37.71681095160404,127.3078191403619,6012,830.700628191356,경기도 남양주시 수동면 외방리 552-1,37.72407327,127.305541
37.41368361468508,127.22366430621057,2928,871.9367666394717,경기도 광주시 중대동 210-9대,37.40843776,127.2163326
37.42340249899144,126.6668702243456,15002,7098.353372148844,경기도 시흥시 월곶동 1013-5번지,37.3887471,126.7342551
37.28449065540026,127.4599203758904,28217,334.19766530410465,경기도 이천시 갈산동 592-19,37.2856509,127.4564427
37.66275219232062,127.20343875136442,6362,1211.997031371333,경기도 남양주시 진건읍 송능리 119-2,37.67288191,127.1983083
37.694035254385696,127.00591673876912,21240,3335.0590679592183,경기도 양주시 장흥면 울대리 84-13,37.71459404,126.9783352
37.56113392887231,127.42124480506747,22078,2652.3756005830805,경기도 양평군 양서면 증동리 480-15답,37.53754308,127.416449
37.63102644461197,126.59148810729197,5093,2035.198737314179,경기도 김포시 양촌읍 학운리 3711,37.613812,126.59943
37.432969022428566,127.019224759926,1661,967.2908036474254,경기도 과천시 막계동 978-14전 거북성 3R,37.43749916,127.0098876
37.74631903587943,127.2308536339024,6550,1403.585301248583,경기도 남양주시 진접읍 진벌리 444-14,37.73812989,127.218719
37.56274096233109,127.04940543008264,3581,5673.5241352255425,경기도 구리시 아천동 314-4,37.56242421,127.1136195
37.48358434157311,127.1718623318972,33874,876.1556249977438,경기도 하남시 감이동 374-34,37.48721603,127.1630664
37.50121024071152,127.06229773949288,1813,4892.251190025434,경기도 과천시 주암동 62-16,37.46348195,127.0336941
37.71924648048781,127.08993745305692,27225,955.1252613160345,경기도 의정부시 고산동 510-2,37.71954692,127.1007641
37.35681613236956,127.28766382315747,2981,1921.772878004247,경기도 광주시 초월읍 산이리 207-24,37.36003919,127.3089771
37.08879366309532,126.99245801376152,37112,162.42724782698454,경기도 화성시 양감면 정문리 113,37.08787225,126.9910386
37.51052631387716,126.95720044230772,1651,6713.348285891082,경기도 과천시 과천동 산95-17 남태령고개,37.45585202,126.9896697
37.5937708484239,127.11146130516616,3282,920.2003347421676,경기도 구리시 교문동 339-33,37.60011528,127.1181693
37.053437738984975,127.24528538467824,17589,1373.8139292404585,경기도 안성시 고삼면 대갈리 596,37.06559739,127.2481807
37.530519621862766,127.42766476393788,22624,1161.9319904988572,경기도 양평군 옥천면 아신리 1000,37.52586767,127.4394409
37.40793022219584,126.7820186026182,15351,219.44029225203795,경기도 시흥시 포동 13-29,37.4071045,126.7842707
37.153234585367805,127.07662694498208,24517,260.6245657517167,경기도 오산시 오산동 920-1번지,37.1555586,127.0762054
37.59588519437653,127.0137696085698,3586,8967.244808630592,경기도 구리시 아천동 387-18,37.57636362,127.1122884
37.53307844990589,126.73674918835506,7818,2393.6317836589087,경기도 부천시 삼정동 12-6,37.53024933,126.7635961
37.03358955963967,127.00566327098512,33216,880.7779060270104,경기도 평택시 해창리 1040-5,37.03768325,127.0141444
37.73121907912472,127.34646780896318,6014,2989.5020192793404,경기도 남양주시 수동면 외방리 산 42,37.72943356,127.3126298
37.893730268238166,127.18749120506357,33645,554.5367709131775,경기도 포천시 신읍동 277(마을회관앞),37.8969545,127.1826752
37.37563903818938,127.13406017476028,9589,61.000852904715245,경기도 성남시 분당구 서현2동 302번지 서당어린이공원(분당34호) 서당초등학교 주변,37.3752216,127.1345082
37.74877317302246,127.13446486276294,27230,1361.2608565388052,경기도 의정부시 고산동 866,37.74571167,127.1195083
37.41259068318407,127.02616520106518,1677,1759.6554955237539,경기도 과천시 문원동 115-248번지,37.42292826,127.0110935
37.52339079980552,127.10743317379504,33865,3584.703979184413,경기도 하남시 감북동 431,37.51539586,127.146721
37.46069106103468,127.31068092132664,3117,1026.544372605955,경기도 광주시 퇴촌면 광동리 277-2도,37.46940942,127.3068061
37.54664454793587,126.82690360860867,7475,1887.6028856539072,경기도 부천시 고강동 275-11,37.53242555,126.8151855
37.38283045984557,126.96657067220036,19358,209.4860302764122,경기도 안양시 동안구 귀인동,37.38284838,126.9642054
37.37827864194906,127.21636903230215,2726,499.3599953500691,경기도 광주시 목동 517,37.38155928,127.2125104
37.70435866483152,127.24886289758236,6135,2377.0087557889824,경기도 남양주시 오남읍 오남리 산50-2,37.69390757,127.2253369
37.48669659798537,127.52875665455753,22238,547.435092027521,경기도 양평군 양평읍 백안리 231번지,37.49150726,127.5301236
37.7453014253112,127.10252164204424,27506,165.86871334651053,경기도 의정부시 민락동 885-1,37.74557251,127.1043724
37.24202278805078,127.41225606013676,29823,1301.5116092190026,경기도 이천시 호법면 안평리 406-10번지,37.2345521,127.4235624
37.53843576284164,127.41999489639046,22078,328.67705209549695,경기도 양평군 양서면 증동리 480-15답,37.53754308,127.416449
37.110564021844,126.92303490779642,38757,321.6742759903237,경기도 화성시 향남읍 하길리 437-6,37.1083583,126.920687
37.0315388745783,127.30160708024688,18248,600.9123324039023,경기도 안성시 보개면 곡천리 102-5,37.02907808,127.2955912
37.3879296426747,127.3938095965555,2565,1166.1447675087586,경기도 광주시 곤지암읍 건업리 186-4천,37.39295346,127.4053755
37.428434689227,127.37498426371212,21485,2984.5512829282015,경기도 양평군 강하면 항금리 452-1답,37.4461321,127.4003758
